Date (date),Country Name (country_name),ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region),Region Code (region_code),Sub-Region Name (sub_region),Sub-Region Code (sub_region_code),Harmonized System Code (hs_code),Commodity Name (commodity),Unit of Quantity (unit),Quantity of commodity (value_qt),Value of commodity quantity in INR (value_rs),Value of commodity quantity in US Dollars (value_dl)
"2024-07-01","Argentina","ARG","32","Americas","19","Latin America and the Caribbean","419","68159990","Others","Kgs","36.0","49.32","0.06"
"2024-01-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","84671900","Others Pneumatic Tools","Nos","1.61","66.19","0.08"
"2024-02-01","United States of America","USA","840","Americas","19","Northern America","21","34060010","Candles","Kgs","644.68","1977.13","2.38"
"2016-05-01","Colombia","COL","170","Americas","19","Latin America and the Caribbean","419","52114200","Denim Of Yarns Of Different Colour Of Mxd Cotn Fabrics Weighing>200 Gsm","Sqm","469.17","600.96","0.9"
"2016-06-01","Canada","CAN","124","Americas","19","Northern America","21","21069030","Betel Nut Product Known As Supari","Kgs","1.32","5.75","0.01"
"2018-09-01","Brazil","BRA","076","Americas","19","Latin America and the Caribbean","419","88051020","Deck Arrestor Or Similar Gear","Nos","0.03","0.1","0.0"
"2016-03-01","United States of America","USA","840","Americas","19","Northern America","21","73229090","Parts Of Air Heaters And Air Distributors","Kgs","18.21","46.88","0.07"
"2018-09-01","Canada","CAN","124","Americas","19","Northern America","21","30049071","Captopril, Enalapril, Lisinopril, Perindopril And Ramipril","Kgs","3.4","127.92","0.18"
"2021-09-01","Canada","CAN","124","Americas","19","Northern America","21","33049910","Creams Face (Excl Turmaric)","Kgs","8.49","105.19","0.14"
"2023-10-01","Canada","CAN","124","Americas","19","Northern America","21","12119056","Basil,Hyasop,Rose Mary Sage,Savory","Kgs","1.35","2.42","0.0"
"2019-09-01","Cayman Islands","CYM","136","Americas","19","Latin America and the Caribbean","419","61178030","Othr Clotng Accessoris Of Cotton","Nos","0.12","0.34","0.0"
"2023-04-01","Canada","CAN","124","Americas","19","Northern America","21","87081010","Bumpers Etc For Tractors","Kgs","2.03","5.74","0.01"
"2023-03-01","Brazil","BRA","76","Americas","19","Latin America and the Caribbean","419","85123010","Horns","Nos","9.57","12.65","0.02"
"2020-04-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","72230091","Wire Of Stainls Stl Thicker Than 1.5 Mm","Kgs","18.0","35.4","0.05"
"2023-05-01","Colombia","COL","170","Americas","19","Latin America and the Caribbean","419","27101989","Other Cutting Oil, Hydraulic Oil, Industrial White Oil, Jute Batching Oil, Mineral Oil For Cosmetic Industry","Kgs","133.25","121.8","0.15"
"2024-03-01","Chile","CHL","152","Americas","19","Latin America and the Caribbean","419","87081090","Bumpers Etc For Othr Vhcls","Kgs","3.4","29.18","0.04"
"2018-07-01","Colombia","COL","170","Americas","19","Latin America and the Caribbean","419","39172190","Others","Kgs","0.45","1.14","0.0"
"2019-08-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","84145990","Others","Nos","77.57","106.37","0.15"
"2022-02-01","United States of America","USA","840","Americas","19","Northern America","21","85361040","High Rupturing Capacity Fuses","Nos","37.14","49.96","0.07"
"2020-11-01","Trinidad and Tobago","TTO","780","Americas","19","Latin America and the Caribbean","419","84314310","Prts Of Borng/Snkng Mchnry,Slf-Prpld","Kgs","0.03","0.52","0.0"
"2020-05-01","Dominican Republic","DOM","214","Americas","19","Latin America and the Caribbean","419","32041989","Other Food Colouring","Kgs","0.23","1.8","0.0"
"2015-05-01","Canada","CAN","124","Americas","19","Northern America","21","63029190","Other Bed Linen, Table Lenen, Toilet Linen, Kitchen Linen: Of Cotton, Other Than Handloom","Kgs","4.63","35.36","0.06"
"2020-06-01","Dominican Republic","DOM","214","Americas","19","Latin America and the Caribbean","419","52052310","Grey","Kgs","21.32","43.2","0.06"
"2023-04-01","United States of America","USA","840","Americas","19","Northern America","21","8061000","Grapes Fresh","Kgs","63.46","115.22","0.14"
"2019-08-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","90191090","Others","Nos","5.0","0.44","0.0"
"2023-06-01","Colombia","COL","170","Americas","19","Latin America and the Caribbean","419","52083230","Shirting Fabrics","Sqm","40.1","41.14","0.05"
"2017-07-01","Canada","CAN","124","Americas","19","Northern America","21","94054090","*Other Electric Lamps And Lighting Fittings","Nos","1.76","0.33","0.0"
"2016-09-01","Brazil","BRA","076","Americas","19","Latin America and the Caribbean","419","38249021","*Electroplating Salts (Mixed)","Kgs","8.16","20.93","0.03"
"2024-03-01","United States of America","USA","840","Americas","19","Northern America","21","62112000","Ski Suits","Nos","0.12","14.5","0.02"
"2021-09-01","Argentina","ARG","032","Americas","19","Latin America and the Caribbean","419","64039910","Leather Sandals With Rubber Sole","Prs","1.12","3.48","0.0"
"2016-11-01","United States of America","USA","840","Americas","19","Northern America","21","29394200","Pseudoephedrine (Inn) And Its Salts (Alkaloids Of Ephedra And Their Derivatives; Salts Their Of)","Kgs","0.11","3.87","0.01"
"2015-04-01","Argentina","ARG","32","Americas","19","Latin America and the Caribbean","419","29225090","Other Frusemide Aminodial Domperidone","Kgs","0.7","5.8","0.01"
"2021-03-01","United States of America","USA","840","Americas","19","Northern America","21","32041529","Other Vat Orange","Kgs","1.0","24.77","0.03"
"2022-04-01","Canada","CAN","124","Americas","19","Northern America","21","9041200","Crushed Or Ground Pepper","Kgs","86.83","435.66","0.57"
"2023-07-01","United States of America","USA","840","Americas","19","Northern America","21","82053000","Planes,Chisels,Gauges And Smlr Cutting Toolsfor Working Wood","Nos","189.7","271.62","0.33"
"2017-02-01","Chile","CHL","152","Americas","19","Latin America and the Caribbean","419","94049091","*Othr Matress Suport Filld Wth Fethrs/Down","Kgs","0.7","6.34","0.01"
"2016-12-01","Canada","CAN","124","Americas","19","Northern America","21","20083090","Other Citrus Fruits Prepared Or Preserved","Kgs","0.5","0.91","0.0"
"2022-11-01","Peru","PER","604","Americas","19","Latin America and the Caribbean","419","84248200","Agricultural Or Hoticultural Mchncl Applncs","Nos","0.0","44.44","0.05"
"2022-06-01","United States of America","USA","840","Americas","19","Northern America","21","55169110","Othr Mxd Wvn Fbrc Of Artfcl Stpl Fibres , Unblchd","Sqm","0.08","0.31","0.0"
"2021-05-01","Peru","PER","604","Americas","19","Latin America and the Caribbean","419","29051420","Salbutamol Sulphate","Kgs","0.0","0.67","0.0"
"2018-08-01","United States of America","USA","840","Americas","19","Northern America","21","42022910","Hnbgs Of Othr Mtrls Excl Wkrwrk/Bskt Wrk","Nos","118.08","554.17","0.8"
"2017-01-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","32041759","Others Pigment Blue","Kgs","44.82","184.64","0.27"
"2016-06-01","Brazil","BRA","76","Americas","19","Latin America and the Caribbean","419","60032000","Fbrcs Of Cotton","Kgs","6.0","8.94","0.01"
"2016-09-01","United States of America","USA","840","Americas","19","Northern America","21","82159900","Othr Articles Not In Sets","Kgs","230.45","613.35","0.92"
"2023-11-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","25140000","Slate W/N Roughly Trmmd/Merely Cut By Sawing/Othrwse Into Blks/Slbs Of A Rctnglr And Sq Shape","Kgs","75.5","18.68","0.02"
"2015-03-01","United States of America","USA","840","Americas","19","Northern America","21","84833000","Bearing Housungs,Not Incorporating Ball Or Roller Bearings;Plain Shaft Bearings","Nos","26.59","187.09","0.3"
"2023-08-01","United States of America","USA","840","Americas","19","Northern America","21","84839000","Parts Of The Items Of Hdg 8483","Nos","683.99","5401.98","6.53"
"2024-07-01","El Salvador","SLV","222","Americas","19","Latin America and the Caribbean","419","30049031","Promethazine, Chlorpheniramine, Astemizole And Ceteirizine","Kgs","0.14","5.76","0.01"
"2023-12-01","United States of America","USA","840","Americas","19","Northern America","21","44119229","Other Board","Kgs","3.1","23.24","0.03"
"2022-05-01","United States of America","USA","840","Americas","19","Northern America","21","29159040","Pivaloyl Chloride","Kgs","19.0","63.45","0.08"
"2022-04-01","United States of America","USA","840","Americas","19","Northern America","21","61042300","Ensembles Of Synthetic Fibres","Nos","0.12","4.23","0.01"
"2020-06-01","Chile","CHL","152","Americas","19","Latin America and the Caribbean","419","85365090","Othr Switches","Nos","0.18","0.73","0.0"
"2021-02-01","United States of America","USA","840","Americas","19","Northern America","21","74199930","*Articles Of Brass","Kgs","574.79","4647.2","6.39"
"2015-10-01","Colombia","COL","170","Americas","19","Latin America and the Caribbean","419","33059040","Hair Dyes ( Natural,Herbal 0R Synthetic )","Kgs","1.2","4.49","0.01"
"2023-04-01","Canada","CAN","124","Americas","19","Northern America","21","44182190","Other[Of Tropical Wood:(Doors And Their Frames And Thresholds:)]","Kgs","0.2","1.37","0.0"
"2023-04-01","Brazil","BRA","76","Americas","19","Latin America and the Caribbean","419","74122019","0Thr Tube Or Pipe Ftngs Of Brass","Kgs","0.01","0.3","0.0"
"2018-10-01","Argentina","ARG","32","Americas","19","Latin America and the Caribbean","419","39069090","Others Acrylic Polymers In Primary Forms Excl. Poly (Methyl Methacrylate","Kgs","7.0","10.51","0.01"
"2022-03-01","Paraguay","PRY","600","Americas","19","Latin America and the Caribbean","419","73069011","Erw Precision Other Tubes Made Up Of Iron","Kgs","10.17","18.51","0.02"
"2023-02-01","Brazil","BRA","76","Americas","19","Latin America and the Caribbean","419","73251000","Othr Articles Of Non-Malleable Cast Iron","Kgs","1.12","6.07","0.01"
"2024-02-01","Canada","CAN","124","Americas","19","Northern America","21","82119390","Other Knives","Kgs","0.3","1.94","0.0"
